id;tags
1;"[""ai"", ""cloud"", ""integration"", ""machine learning"", ""networking"", ""storage"", ""storage architectures""]"
2;"[""api gateway"", ""aws"", ""english"", ""lambda"", ""rest""]"
3;"[""azure"", ""data analysis"", ""power bi""]"
4;"[""azure"", ""cloud"", ""java"", "".net core"", ""python""]"
5;"[""agile"", ""business analysis"", ""product management"", ""project management""]"
6;"[""laravel"", ""php"", ""sql"", ""unit testing""]"
7;"[""analytical skills"", ""it support operations"", ""sql""]"
8;"[""communication"", ""sap"", ""sap hana""]"
9;"[""sap"", ""sap bw"", ""sap hana""]"
10;"[""sap"", ""sap bw"", ""sap hana""]"
11;"[""c#"", ""javascript"", "".net"", "".net framework"", ""react"", ""typescript""]"
12;"[""agile"", ""azure"", ""azure devops"", ""ci/cd"", ""cqrs"", ""microservices architecture"", ""mongodb"", "".net"", ""rest api""]"
13;"[""expo"", ""mobile"", ""react.js"", ""react native"", ""typescript"", ""web applications"", ""web services""]"
14;"[""ansible"", ""jenkins"", ""linux"", ""python"", ""shell""]"
15;"[""css"", ""git"", ""html"", ""json"", ""react"", ""rest api"", ""typescript""]"
16;"[""aws"", ""azure"", ""azure devops"", ""ci/cd"", ""cloud"", ""devops"", ""docker"", ""gcp"", ""github"", ""kubernetes"", ""powershell"", ""python"", ""terraform""]"
17;"[""change management"", ""incident management"", ""itil"", ""problem management"", ""service management"", ""windows""]"
18;"[""change management"", ""incident management"", ""itil"", ""problem management"", ""service management"", ""windows""]"
19;"[""azure"", ""azure analysis services"", ""azure data factory"", ""business intelligence"", ""cloud"", ""etl"", ""power bi"", ""sql""]"
20;"[""atlassian"", ""jira"", ""jira cloud"", ""project management""]"
21;"[""ci/cd"", ""css"", ""database"", ""git"", ""html"", ""javascript""]"
22;"[""devops"", ""kubernetes"", ""mssql"", "".net""]"
23;"[""english"", ""german"", ""sap"", ""sap fscd""]"
24;"[""java"", ""spring boot"", ""sql server""]"
25;"[""angular"", ""angular2+"", ""aws"", ""azure"", ""docker"", ""microservices"", ""mongodb"", "".net"", "".net core"", ""nosql"", ""typescript""]"
26;"[""asp.net core"", ""aws"", ""azure"", ""docker"", ""jpa"", "".net"", "".net core"", ""nosql"", ""rest api""]"
27;"[""aws"", ""azure"", ""azure devops"", ""bigdata"", ""databricks"", ""data lake"", ""data warehouse"", ""gcp"", ""pandas"", ""pyspark"", ""python"", ""sql""]"
28;"[""aem (Adobe Experience Manager)"", ""cloud"", ""java"", ""javascript""]"
29;"[""aem (Adobe Experience Manager)"", ""html5"", ""java"", ""javascript""]"
30;"[""agile"", ""ai"", ""automatyzacja proces\u00f3w"", ""bezpiecze\u0144stwo it i ci\u0105g\u0142o\u015b\u0107 d"", ""cloud"", ""commerce"", ""cybersecurity"", ""data base"", ""enterprise architect"", ""itil"", ""komunikacja i relacje z intere"", ""koordynacja wdro\u017ce\u0144 system\u00f3w"", ""optymalizacja koszt\u00f3w"", ""planowanie bud\u017cetu"", ""project management"", ""projektowanie architektury biz"", ""przyw\u00f3dztwo i zarz\u0105dzanie zesp"", ""rozw\u00f3j e-commerce"", ""scrum"", ""szeroka wiedza technologiczna"", ""team leader"", ""team management"", ""umiej\u0119tno\u015b\u0107 negocjacji i wsp\u00f3\u0142"", ""wdra\u017canie rozwi\u0105za\u0144 ai"", ""zarz\u0105dzanie dostawcami i partn"", ""zarz\u0105dzanie portfelem projekt\u00f3"", ""zarz\u0105dzanie strategiczne it"", ""znajomo\u015b\u0107 metodyk i standard\u00f3w""]"
31;"[""aws"", ""azure"", ""bash"", ""cloud"", ""continuous integration"", ""devops"", ""jenkins"", ""kubernetes"", ""linux""]"
32;"[""english"", ""german"", ""ms office"", ""power bi""]"
33;"[""aws"", ""azure"", ""bigdata"", ""business intelligence"", ""databricks"", ""data lake"", ""data warehouse"", ""etl"", ""gcp"", ""pyspark"", ""python"", ""sql""]"
34;"[""ai"", ""azure devops"", ""ci/cd"", ""python""]"
35;"[""postman"", ""rest assured"", ""sql"", ""test automation""]"
36;"[""agile"", ""java"", ""javascript"", ""software architecture"", ""typescript""]"
37;"[""javascript"", ""php"", ""react"", ""typescript"", ""wordpress""]"
38;"[""c#"", ""ci/cd"", ""git"", ""java"", ""javascript"", ""typescript""]"
39;"[""apache kafka"", ""cloud"", ""java"", ""junit"", ""kotlin"", ""rest"", ""spring boot"", ""sql""]"
40;"[""hibernate"", ""java"", ""kubernetes"", ""spring"", ""spring boot"", ""typescript""]"
41;"[""angular"", ""hibernate"", ""java"", ""junit"", ""kubernetes"", ""rxjs"", ""spring"", ""typescript""]"
42;"[""ai"", ""llm"", ""machine learning""]"
43;"[""android"", ""android sdk"", ""android studio"", ""git"", ""gitlab"", ""java"", ""kotlin"", ""mobile""]"
44;"[""graphql"", ""javascript"", ""node.js"", ""typescript""]"
45;"[""azure"", ""databricks"", ""devops""]"
46;"[""abap"", ""sap"", ""sap fiori""]"
47;"[""data governance"", ""quality assurance"", ""reinforcement learning""]"
48;"[""bigdata"", ""dml"", ""hive"", ""pyspark"", ""python""]"
49;"[""angular"", ""c#"", ""css"", ""javascript"", "".net"", ""react"", ""typescript""]"
50;"[""agile"", ""confluence"", ""jira"", ""safe"", ""scrum"", ""scrum master""]"
51;"[""accounting"", ""business analysis"", ""financial analysis"", ""ifrs17"", ""sap"", ""sap sd""]"
52;"[""ai"", ""azure"", ""azure devops"", ""ci/cd"", ""databricks"", ""docker"", ""kubernetes"", ""machine learning"", ""python"", ""rest api""]"
53;"[""agile"", ""cybersecurity"", ""siem""]"
54;"[""azure"", ""azure databricks"", ""ml frameworks""]"
55;"[""android"", ""ios"", ""kotlin"", ""react"", ""react native"", ""redux"", ""typescript""]"
56;"[""cloud"", ""etd"", ""sap"", ""sap authorization management"", ""sap btp cloud identity services"", ""sap cloud iag"", ""sap erp"", ""sap grc access control"", ""sap hana""]"
57;"[""apex"", ""html"", ""salesforce"", ""scrum"", ""sql""]"
58;"[""c#"", ""microservices"", "".net"", "".net core"", ""rest api"", ""unit testing""]"
59;"[""c#"", ""docker"", ""java"", ""jenkins"", "".net"", ""spring boot"", ""sql""]"
60;"[""ansible"", ""c++"", ""docker"", ""elasticsearch"", ""gcp"", ""golang"", ""grafana"", ""java"", ""kubernetes"", ""mongodb"", ""python"", ""redis"", ""ruby"", ""ruby on rails"", ""scala""]"
61;"[""css"", ""cypress"", ""html"", ""javascript"", ""react"", ""redis"", ""redux"", ""rest api"", ""typescript"", ""webpack""]"
62;"[""css"", ""cypress"", ""html"", ""javascript"", ""react"", ""redis"", ""redux"", ""rest api"", ""typescript"", ""webpack""]"
63;"[""azure"", ""machine learning"", "".net"", ""python""]"
64;"[""agile"", ""data modeling"", ""sql""]"
65;"[""groovy"", ""sap"", ""sap pi/po"", ""web services"", ""xml""]"
66;"[""power bi"", ""power query"", ""sql""]"
67;"[""azure"", ""c#"", ""javascript"", ""power platform""]"
68;"[""azure"", ""etl"", ""sql""]"
69;"[""aws"", ""azure"", ""gcp""]"
70;"[""gcd"", ""ios"", ""swift"", ""uikit""]"
71;"[""android"", ""kotlin"", ""rxjava"", ""testing""]"
72;"[""agile"", ""aws"", ""javascript"", ""node.js"", ""python"", ""terraform""]"
73;"[""bpmn"", ""enterprise architect"", ""uml""]"
74;"[""agile"", ""confluence"", ""data analysis"", ""excel"", ""jira"", ""project management"", ""scrum"", ""scrum master""]"
75;"[""cloud"", ""data modeling"", ""machine learning"", ""python""]"
76;"[""azure"", ""dax"", ""power bi"", ""power query"", ""sql server""]"
77;"[""istqb"", ""scrum"", ""sql"", ""testing""]"
78;"[""oracle"", ""pl/sql"", ""sql""]"
79;"[""aws"", ""cloud"", ""gcp"", ""java"", ""python"", ""scala"", ""sql""]"
80;"[""aws"", ""azure"", ""cloud"", ""gcp"", ""integration"", ""powershell"", ""python"", ""security""]"
81;"[""aws"", ""azure"", ""cloud"", ""gcp"", ""integration"", ""powershell"", ""python"", ""security""]"
82;"[""agile"", ""ansible"", ""azure"", ""bash"", ""chef"", ""cloud"", ""devops"", ""jenkins"", ""kubernetes"", ""linux"", ""networking"", ""powershell"", ""puppet"", ""python"", ""security"", ""sql"", ""terraform"", ""testing""]"
83;"[""agile"", ""integration"", ""javascript"", ""kanban"", ""python"", ""ruby"", ""scrum"", ""security"", ""testing"", ""ui""]"
84;"[""cloud"", ""cybersecurity"", ""information security"", ""web application security""]"
85;"[""c#"", ""javascript"", "".net"", ""react""]"
86;"[""apache kafka"", ""java"", ""microservices"", ""rest api"", ""spring boot""]"
87;"[""ms office"", ""windows"", ""windows server""]"
88;"[""express"", ""mysql"", ""node.js"", ""orm"", ""rabbitmq"", ""redis"", ""socket.io"", ""typescript""]"
89;"[""agile"", ""bdd"", ""business analysis"", ""confluence"", ""jira"", ""ms office"", ""project management""]"
90;"[""analytical skills"", ""business analysis"", ""confluence"", ""database"", ""excel"", ""Infrastructure as Code (IaC)"", ""jira"", ""requirements analysis"", ""service management"", ""storage""]"
91;"[""agile"", ""devops"", ""gcp"", ""java"", ""mongodb"", ""postgresql"", ""rust"", ""spring"", ""spring boot""]"
92;"[""apache kafka"", ""bash"", ""ci/cd"", ""docker"", ""groovy"", ""istio service mesh"", ""java"", ""kubernetes""]"
93;"[""apache kafka"", ""bash"", ""ci/cd"", ""docker"", ""groovy"", ""istio service mesh"", ""java"", ""kubernetes""]"
94;"[""docker"", ""java"", ""kubernetes"", ""microservices"", ""rest api"", ""spring boot""]"
95;"[""aws"", ""cloud"", ""cloudformation"", ""devops"", ""it architecture"", ""kotlin"", ""node.js"", ""python"", ""software architecture"", ""software engineering"", ""spring boot"", ""terraform"", ""typescript""]"
96;"[""aws"", ""azure"", ""cloud"", ""devops"", ""kubernetes"", ""typescript""]"
97;"[""atlassian"", ""jira"", ""jira cloud""]"
98;"[""bi"", ""business intelligence"", ""quickview"", ""sql""]"
99;"[""docker"", ""itsm systems"", ""kubernetes"", ""kvm"", ""linux"", ""mysql"", ""oracle"", ""oss systems"", ""snmp protocol"", ""system administration"", ""systems geographical location of entities"", ""virtualization""]"
100;"[""ediscovery"", ""Hardware asset management"", ""support"", ""windows""]"
101;"[""aws"", ""bash"", ""cloud"", ""continuous integration"", ""devops"", ""github"", ""Infrastructure as Code (IaC)"", ""kubernetes"", ""prometheus"", ""python"", ""security"", ""terraform""]"
102;"[""Hardware asset management"", ""itil"", ""product management"", ""simcorp dimension (scd)""]"
103;"[""aws bedrock"", ""azure ai"", ""large language models""]"
104;"[""data analysis"", ""databricks"", ""etl"", ""pyspark"", ""python"", ""sql""]"
105;"[""cyber security"", ""incident response"", ""network security""]"
106;"[""java"", ""opentext"", ""pearl"", ""react"", ""rest api"", ""sql""]"
107;"[""business analysis"", ""sap"", ""sap business objects"", ""sap trm""]"
108;"[""angular"", ""c#"", ""cloud"", ""css"", ""iam"", ""javascript"", ""jquery"", "".net"", ""powershell"", ""rest api"", ""sql""]"
109;"[""agile"", ""itil"", ""jira"", ""project management"", ""simcorp dimension (scd)""]"
110;"[""aws"", ""cloud"", ""docker"", ""machine learning"", ""natural language processing"", ""nlp"", ""python""]"
111;"[""business intelligence"", ""database"", ""pandas"", ""power bi"", ""python"", ""sql"", ""tableau""]"
112;"[""azure"", ""cloud"", ""data modeling"", ""data warehouse"", ""dwh"", ""etl"", ""gcp"", ""it architecture"", ""sql""]"
113;"[""agile"", ""itil"", ""itsm"", ""project management"", ""scrum"", ""security"", ""sql""]"
114;"[""android"", ""android studio"", ""git"", ""java"", ""jira""]"
115;"[""aws"", ""docker"", ""kubenetes"", ""kubernetes"", ""linux"", ""terraform""]"
116;"[""aws"", ""devops"", ""docker"", ""kubenetes"", ""kubernetes"", ""linux"", ""terraform""]"
117;"[""css"", ""extjs"", ""javascript"", ""problem solving"", ""rest api"", ""saas"", ""sdlc"", ""ui""]"
118;"[""agile"", ""cyber security"", ""project management"", ""scrum"", ""security"", ""siem"", ""soc""]"
119;"[""operating system"", ""service"", ""support""]"
120;"[""etd"", ""sap authorization management"", ""sap cybersecurity"", ""sap grc access control""]"
121;"[""active directory"", ""ldap"", ""linux"", ""powershell"", ""saviynt"", ""sql""]"
122;"[""business analysis"", ""confluence"", ""database"", ""jira"", ""sql""]"
123;"[""agile"", ""confluence"", ""microsoft office"", ""portfolio financial management""]"
124;"[""apache spark"", ""bigdata"", ""business intelligence"", ""databricks"", ""etl"", ""pyspark"", ""python"", ""sql""]"
125;"[""aws"", ""azure"", ""bigdata"", ""business intelligence"", ""databricks"", ""data lake"", ""data warehouse"", ""etl"", ""gcp"", ""pyspark"", ""python"", ""sql""]"
126;"[""expo"", ""mongodb"", ""react"", ""react native"", ""react query"", ""typescript"", ""zustand""]"
127;"[""ci/cd"", ""jira"", ""linux"", ""system administration"", ""vmware""]"
128;"[""aws"", ""azure"", ""cloud"", ""linux"", ""networking"", ""perl"", ""php"", ""security"", ""tomcat"", ""virtualization"", ""vmware"", ""windows""]"
129;"[""agile"", ""integration"", ""javascript"", ""kanban"", ""scrum"", ""testing"", ""ui""]"
130;"[""agile"", ""android"", ""devops"", ""ios"", ""java"", ""kotlin"", ""security"", ""testing"", ""ui""]"
131;"[""agile"", ""android"", ""css"", ""ios"", ""node.js"", ""postgresql"", ""react"", ""testing"", ""typescript""]"
132;"[""crm"", ""integration"", ""oracle"", ""salesforce"", ""sap""]"
133;"[""aws"", ""cloud"", ""etl"", ""networking"", ""python"", ""r"", ""security""]"
134;"[""cloud"", ""devops"", ""python"", ""tensorflow""]"
135;"[""ai"", ""project management"", ""r""]"
136;"[""camunda"", ""graphql"", ""itil"", ""jira"", ""mikroserwisy"", ""mongodb""]"
137;"[""groovy"", ""jira"", ""sql""]"
138;"[""itil"", ""jira"", ""mongodb""]"
139;"[""agile"", ""confluence"", ""jira"", ""scrum""]"
140;"[""c++"", ""jira"", ""python"", ""sql"", ""unix"", ""windows""]"
141;"[""pl/sql"", ""postgresql"", ""sql""]"
142;"[""bash"", ""docker"", ""linux"", ""linux administration"", ""python"", ""system administration"", ""systemy wirtualizacji"", ""vmware""]"
143;"[""aws"", ""ci/cd"", ""cloud"", ""devops"", ""docker"", ""iot"", ""kubernetes"", ""python"", ""terraform""]"
144;"[""apache"", ""bash"", ""docker"", ""linux"", ""linux administration"", ""python"", ""system administration"", ""systemy wirtualizacji"", ""tcp/ip"", ""virtualization""]"
145;"[""cisco"", ""firewall"", ""lan/wan"", ""networking"", ""network protocols"", ""routing"", ""switching"", ""tcp/ip"", ""virtualization""]"
146;"[""cisco"", ""lan/wan"", ""networking"", ""network protocols"", ""routing"", ""switching"", ""tcp/ip"", ""vpn""]"
147;"[""asp.net"", ""c#"", ""git"", "".net"", "".net framework"", ""sql"", ""wpf""]"
148;"[""angular"", ""css"", ""figma"", ""scrum"", ""typescript""]"
149;"[""bpmn"", ""rest"", ""uml""]"
150;"[""c++"", ""embedded software"", ""matlab"", ""python""]"
151;"[""c++"", ""data modeling"", ""data science"", ""machine learning"", ""python"", ""statistics""]"
152;"[""figma"", ""ui"", ""ux""]"
153;"[""bpmn"", ""business analysis"", ""enterprise architect"", ""uml""]"
154;"[""bgp"", ""cisco"", ""cisco tools"", ""data center"", ""networking"", ""network protocols"", ""network virtualization"", ""san"", ""storage"", ""vpn""]"
155;"[""cisco"", ""cisco tools"", ""data center"", ""networking"", ""network protocols"", ""network virtualization"", ""san"", ""storage"", ""virtualization"", ""vmware""]"
156;"[""active directory"", ""aws"", ""azure"", ""gcp"", "".net"", ""powershell"", ""security""]"
157;"[""functional testing"", ""manual testing"", ""postman"", ""selenium"", ""swagger"", ""test automation"", ""testing""]"
158;"[""ai"", ""excel"", ""json"", ""jzyk angielski"", ""jzyk francuski"", ""project management"", ""python"", ""sql""]"
159;"[""excel"", ""json"", ""project management""]"
160;"[""c"", ""cloud"", ""devops"", ""docker"", ""golang"", ""integration"", ""java"", ""kubernetes"", ""python"", ""ruby"", ""security"", ""terraform""]"
161;"[""agile"", ""aws"", ""cloud"", ""devops"", ""scrum"", ""security"", ""terraform""]"
162;"[""azure"", ""cloud"", ""software architecture"", ""support""]"
163;"[""ai"", ""cloud"", ""integration"", ""machine learning"", ""networking"", ""storage"", ""storage architectures""]"
164;"[""aws"", ""bash"", ""cloud"", ""devops"", ""docker"", ""docker"", """", ""go"", ""kubernetes"", ""linux"", ""python"", ""terraform"", ""typescript""]"
165;"[""aws"", ""bash"", ""cloud"", ""devops"", ""docker"", ""docker"", """", ""go"", ""golang"", ""kubernetes"", ""python"", ""sre"", ""terraform"", ""typescript""]"
166;"[""abap"", ""business analysis"", ""sap"", ""sap fico"", ""sap hana"", ""sap s/4hana""]"
167;"[""aws"", ""ci/cd"", ""cloud"", ""devops"", ""jenkins"", ""python"", ""terraform""]"
168;"[""ci/cd"", ""cloud"", ""microservices"", ""python"", ""rest""]"
169;"[""ai"", ""cloud"", ""machine learning"", ""python""]"
170;"[""azure"", ""ci/cd"", ""cloud"", ""github"", ""python"", ""terraform""]"
171;"[""business analysis"", ""excel"", ""jira"", ""product management"", ""product owner"", ""project management"", ""team management""]"
172;"[""english"", ""product owner"", ""project management""]"
173;"[""azure"", ""business intelligence"", ""data analysis"", ""power bi"", ""sql""]"
174;"[""cloud"", ""microservices"", ""scala""]"
175;"[""javascript"", ""react native"", ""redux"", ""typescript""]"
176;"[""business analysis"", ""sap"", ""sap hana""]"
177;"[""business analysis"", ""sap"", ""sap project system""]"
178;"[""erp"", ""sap"", ""sap hana""]"
179;"[""consulting"", ""sap"", ""sap s/4hana""]"
180;"[""pyspark"", ""python"", ""quality assurance"", ""sql"", ""testing"", ""test management""]"
181;"[""3cx"", ""asterisk"", ""lan / wan"", ""networking"", ""sip"", ""voip""]"
