id;title;company;work_modes;experience_level;locations;tags;salary_min;salary_max;salary_currency;salary_min_PLN;salary_max_PLN;salary_known_period;description;employment_types;company_website;external_url;country;website;source_id;url;logo;categories;source_categories;added_date;last_update_date;archived_date
1;HPC Architecture Consultant ;People Trust;"[""remote"", ""stationary""]";expert;Remote work;"[""Artificial Intelligence"", ""Cloud Computing"", ""Integration"", ""Machine Learning"", ""Network Protocols"", ""Storage"", ""Storage Architecture""]";32000;40000;PLN;32000;40000;hourly;;"[""b2b""]";https://www.peopletrust.pl/en;;Poland;https://inhire.io;163141;https://inhire.io/praca/hpc-architecture-consultant--remote-work-warszawa-aleja-armii-ludowej--26-job-arbeit-163141;;"[""Backend"", ""Data & AI"", ""Management & Analytics"", ""Other""]";"[""machine_learning_engineer"", ""architect"", ""bi"", ""other""]";2025-09-27 00:26:00.000000;;2025-10-01 17:37:46.000000
2;Solution Architect | f/m/d;ERGO Technology & Services;"[""stationary""]";expert;Gdańsk | Warszawa;"[""API Gateway"", ""AWS"", ""English"", ""REST""]";;;;;;;;"[""employment_contract""]";https://ets-career.com/;https://system.erecruiter.pl/FormTemplates/RecruitmentForm.aspx?WebID=35a2f3227f53435ca8d23892a47e2dba;Poland;https://inhire.io;144907;https://inhire.io/praca/solution-architect-gdansk-droszynskiego-24-warszawa-plac-trzech-krzyzy-1014-job-arbeit-144907;;"[""Backend"", ""Management & Analytics""]";"[""architect""]";2025-09-27 00:26:00.000000;;2025-12-23 15:47:53.000000
3;Senior Data Engineer (Azure Cloud & Data Platforms);ERGO Technology & Services;"[""stationary""]";senior;Gdańsk | Warszawa;"[""Azure"", ""Data Analysis"", ""Power BI""]";;;;;;;;"[""employment_contract""]";https://ets-career.com/;https://system.erecruiter.pl/FormTemplates/RecruitmentForm.aspx?WebID=376194add9da4e54b7cf18f8fb9f2a17;Poland;https://inhire.io;148450;https://inhire.io/praca/senior-data-engineer-azure-cloud-data-platforms--gdansk-droszynskiego-24-warszawa-plac-trzech-krzyzy-1014-job-arbeit-148450;;"[""Data & AI"", ""Management & Analytics""]";"[""data_science"", ""bi""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
4;Senior Software Engineer (Azure Cloud & API Platforms) ;ERGO Technology & Services;"[""stationary""]";senior;Gdańsk | Warszawa;"["".NET"", ""Azure"", ""Cloud Computing"", ""Java"", ""Python""]";;;;;;;;"[""employment_contract""]";https://ets-career.com/;https://system.erecruiter.pl/FormTemplates/RecruitmentForm.aspx?WebID=cf8ed77ed3184377b151f9e2008c4797;Poland;https://inhire.io;148454;https://inhire.io/praca/senior-software-engineer-azure-cloud-api-platforms--gdansk-droszynskiego-24-warszawa-plac-trzech-krzyzy-1014-job-arbeit-148454;;"[""Frontend"", ""Backend""]";"[""full_stack_developer""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
5;Senior Product Manager (AirHelp+ Subscription);AirHelp;"[""stationary""]";senior;Gdańsk | Kraków | Warszawa;"[""Agile"", ""Business Analysis"", ""Product Management"", ""Project Management""]";;;;;;;;"[""b2b"", ""employment_contract""]";https://www.airhelp.com;https://careers.airhelp.com/postings/6243019d-43d1-4998-9945-8214e37cabf4?utm_medium=paid_job_board&utm_source=inhire;Poland;https://inhire.io;133118;https://inhire.io/praca/product-manager-subscription-product--krakow-aleja-3-maja-9-job-arbeit-133118;;"[""Management & Analytics""]";"[""project_manager"", ""product_owner""]";2025-09-27 00:26:00.000000;;2025-10-07 19:52:16.000000
6;Junior PHP Engineer;Godel Technologies Europe;"[""stationary""]";junior;Białystok | Gdańsk | Łódź | Warszawa | Wrocław;"[""Laravel"", ""PHP"", ""SQL"", ""Unit Testing""]";5000;8800;PLN;5000;8800;hourly;;"[""b2b"", ""employment_contract""]";https://www.godeltech.com/;;Poland;https://inhire.io;154075;https://inhire.io/praca/junior-php-engineer-warszawa-ul-emilii-plater-53-lodz-zeromskiego-94b-wroclaw-legnicka-48f-bialystok-generala-jozefa-bema-7-gdansk-bernarda-chrzanowskiego-11-job-arbeit-154075;;"[""Backend""]";"[""backend_developer""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
7;IT Support Assistant;Godel Technologies Europe;"[""stationary""]";intern;Białystok | Gdańsk | Łódź | Warszawa | Wrocław;"[""Analytical Skills"", ""ITSM"", ""SQL""]";7680;8960;PLN;7680;8960;hourly;;"[""temporary""]";https://www.godeltech.com/;;Poland;https://inhire.io;163795;https://inhire.io/praca/it-support-associate-warszawa-ul-emilii-plater-53-lodz-zeromskiego-94b-wroclaw-legnicka-48f-bialystok-generala-jozefa-bema-7-gdansk-bernarda-chrzanowskiego-11-job-arbeit-163795;;"[""IT Admin & Support""]";"[""helpdesk""]";2025-09-27 00:26:00.000000;;2025-10-28 16:05:25.000000
8;SAP BW/BI Developer;Accenture;"[""stationary""]";mid;Gdańsk | Katowice | Kraków | Łódź | Szczecin | Warszawa | Wrocław;"[""Communication Skills"", ""SAP""]";;;;;;;;"[""employment_contract""]";https://www.accenture.com;https://www.accenture.com/pl-en/careers/jobdetails?id=13413809_en&title=SAP%20BW%2FBI%20Developer;Poland;https://inhire.io;159626;https://inhire.io/praca/sap-bwbi-developer-warszawa-krakow-lodz-wroclaw-gdansk-szczecin-katowice-job-arbeit-159626;;"[""Management & Analytics""]";"[""sap""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
9;SAP BW/4HANA Operations and Data Model Junior Consultant;Accenture;"[""stationary""]";mid;Kraków | Łódź | Wrocław;"[""SAP""]";;;;;;;;"[""employment_contract""]";https://www.accenture.com;https://www.accenture.com/pl-en/careers/jobdetails?id=13352414_en&title=SAP%20BW%20Developer;Poland;https://inhire.io;159628;https://inhire.io/praca/sap-bw4hana-operations-and-data-model-junior-consultant-krakow-lodz-wroclaw-job-arbeit-159628;;"[""Management & Analytics""]";"[""sap""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
10;SAP BW Developer;Accenture;"[""stationary""]";mid;Kraków | Łódź | Wrocław;"[""SAP""]";;;;;;;;"[""employment_contract""]";https://www.accenture.com;https://www.accenture.com/pl-en/careers/jobdetails?id=13352414_en&title=SAP%20BW%20Developer;Poland;https://inhire.io;159627;https://inhire.io/praca/sap-bw-developer-krakow-lodz-wroclaw-job-arbeit-159627;;"[""Management & Analytics""]";"[""sap""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
11;Senior Full-Stack Developer (React + .NET);DataArt Poland;"[""country remote"", ""stationary""]";senior;Kraków | Łódź | Lublin | Warszawa | Wrocław;"["".NET"", ""JavaScript"", ""React"", ""TypeScript""]";18000;20000;PLN;18000;20000;monthly;;"[""b2b""]";https://www.dataart.com/;;Poland;https://inhire.io;162221;https://inhire.io/praca/senior-fullstack-developer-react-net--remote-poland-warszawa-ul-prosta-20-wroclaw-pl-grunwaldzki--23-krakow-jana-dekerta--24-lublin-tomasza-zana--39a--lodz-gdanska--130-job-arbeit-162221;;"[""Frontend"", ""Backend""]";"[""full_stack_developer""]";2025-09-27 00:26:00.000000;;2025-10-06 19:19:34.000000
12;Senior .NET Backend Developer;Reply Polska;"[""stationary""]";senior;Katowice | Kraków | Opole | Rzeszów;"["".NET"", ""Agile"", ""Azure"", ""Azure DevOps"", ""CI/CD"", ""CQRS"", ""Microservices"", ""MongoDB"", ""REST""]";16000;28800;PLN;16000;28800;hourly;;"[""b2b"", ""employment_contract""]";https://www.reply.com/en/about/careers/others/jobsearch?country=Poland&&;https://www.reply.com/en/about/careers/pl/job-application/JO-ENG-2094?country=pl&company=nexi_digital&role=professional&s=jobboard&k=inhire;Poland;https://inhire.io;121773;https://inhire.io/praca/senior-net-backend-developer-katowice-wroclawska-54-job-arbeit-121773;;"[""Backend""]";"[""backend_developer""]";2025-09-27 00:26:00.000000;;2025-10-19 09:48:02.000000
