id;tags
1;"[""Artificial Intelligence"", ""Cloud Computing"", ""Integration"", ""Machine Learning"", ""Network Protocols"", ""Storage"", ""Storage Architecture""]"
2;"[""API Gateway"", ""AWS"", ""English"", ""REST""]"
3;"[""Azure"", ""Data Analysis"", ""Power BI""]"
4;"["".NET"", ""Azure"", ""Cloud Computing"", ""Java"", ""Python""]"
5;"[""Agile"", ""Business Analysis"", ""Product Management"", ""Project Management""]"
6;"[""Laravel"", ""PHP"", ""SQL"", ""Unit Testing""]"
7;"[""Analytical Skills"", ""ITSM"", ""SQL""]"
8;"[""Communication Skills"", ""SAP""]"
9;"[""SAP""]"
10;"[""SAP""]"
11;"["".NET"", ""JavaScript"", ""React"", ""TypeScript""]"
12;"["".NET"", ""Agile"", ""Azure"", ""Azure DevOps"", ""CI/CD"", ""CQRS"", ""Microservices"", ""MongoDB"", ""REST""]"
13;"[""Expo"", ""Mobile Development"", ""React"", ""React Native"", ""TypeScript"", ""Web Development"", ""Web Services""]"
14;"[""Ansible"", ""Jenkins"", ""Linux"", ""Python"", ""Shell""]"
15;"[""CSS"", ""Git"", ""HTML"", ""JSON"", ""REST"", ""React"", ""TypeScript""]"
16;"[""AWS"", ""Azure"", ""Azure DevOps"", ""CI/CD"", ""Cloud Computing"", ""DevOps"", ""Docker"", ""GitHub"", ""Google Cloud Platform"", ""Kubernetes"", ""PowerShell"", ""Python"", ""Terraform""]"
17;"[""ITSM"", ""Management"", ""Windows""]"
18;"[""ITSM"", ""Management"", ""Windows""]"
19;"[""Azure"", ""Business Intelligence"", ""Cloud Computing"", ""ETL"", ""Power BI"", ""SQL""]"
20;"[""Atlassian"", ""Project Management""]"
21;"[""CI/CD"", ""CSS"", ""Database"", ""Git"", ""HTML"", ""JavaScript""]"
22;"["".NET"", ""DevOps"", ""Kubernetes"", ""SQL Server""]"
23;"[""English"", ""German"", ""SAP""]"
24;"[""Java"", ""SQL Server"", ""Spring""]"
25;"["".NET"", ""AWS"", ""Angular"", ""Azure"", ""Docker"", ""Microservices"", ""MongoDB"", ""NoSQL"", ""TypeScript""]"
26;"["".NET"", ""AWS"", ""Azure"", ""Docker"", ""JPA"", ""NoSQL"", ""REST""]"
27;"[""AWS"", ""Apache Spark"", ""Azure"", ""Azure DevOps"", ""Big Data"", ""Data Lake"", ""Data Warehouse"", ""Databricks"", ""Google Cloud Platform"", ""Pandas"", ""Python"", ""SQL""]"
28;"[""Adobe Experience Manager"", ""Cloud Computing"", ""Java"", ""JavaScript""]"
29;"[""Adobe Experience Manager"", ""HTML"", ""Java"", ""JavaScript""]"
30;"[""Agile"", ""Artificial Intelligence"", ""Automation"", ""Business Architecture"", ""Cloud Computing"", ""Commerce"", ""Communication Skills"", ""Cybersecurity"", ""Database"", ""E-commerce"", ""Enterprise Architect"", ""Finance"", ""IT Knowledge"", ""IT Management"", ""ITSM"", ""Leadership"", ""Methodologies"", ""Negotiation Skills"", ""Project Management"", ""Vendor Management""]"
31;"[""AWS"", ""Azure"", ""CI"", ""Cloud Computing"", ""DevOps"", ""Jenkins"", ""Kubernetes"", ""Linux"", ""Shell""]"
32;"[""English"", ""German"", ""Microsoft Office"", ""Power BI""]"
33;"[""AWS"", ""Apache Spark"", ""Azure"", ""Big Data"", ""Business Intelligence"", ""Data Lake"", ""Data Warehouse"", ""Databricks"", ""ETL"", ""Google Cloud Platform"", ""Python"", ""SQL""]"
34;"[""Artificial Intelligence"", ""Azure DevOps"", ""CI/CD"", ""Python""]"
35;"[""Postman"", ""Rest Assured"", ""SQL"", ""Test Automation""]"
36;"[""Agile"", ""Java"", ""JavaScript"", ""Software Architecture"", ""TypeScript""]"
37;"[""CMS"", ""JavaScript"", ""PHP"", ""React"", ""TypeScript""]"
38;"["".NET"", ""CI/CD"", ""Git"", ""Java"", ""JavaScript"", ""TypeScript""]"
39;"[""Cloud Computing"", ""JUnit"", ""Java"", ""Kafka"", ""Kotlin"", ""REST"", ""SQL"", ""Spring""]"
40;"[""Hibernate"", ""Java"", ""Kubernetes"", ""Spring"", ""TypeScript""]"
41;"[""Angular"", ""Hibernate"", ""JUnit"", ""Java"", ""Kubernetes"", ""RxJS"", ""Spring"", ""TypeScript""]"
42;"[""Artificial Intelligence"", ""Large Language Models"", ""Machine Learning""]"
43;"[""Android"", ""Android SDK"", ""Android Studio"", ""Git"", ""GitLab"", ""Java"", ""Kotlin"", ""Mobile Development""]"
44;"[""GraphQL"", ""JavaScript"", ""Node.js"", ""TypeScript""]"
45;"[""Azure"", ""Databricks"", ""DevOps""]"
46;"[""ABAP"", ""SAP""]"
47;"[""Data Governance"", ""Quality Assurance"", ""Reinforcement Learning""]"
48;"[""Apache Spark"", ""Big Data"", ""Hive"", ""Python"", ""SQL""]"
49;"["".NET"", ""Angular"", ""CSS"", ""JavaScript"", ""React"", ""TypeScript""]"
50;"[""Agile"", ""Atlassian""]"
51;"[""Accounting Standards"", ""Business Analysis"", ""Finance"", ""Financial Analysis"", ""SAP""]"
52;"[""Artificial Intelligence"", ""Azure"", ""Azure DevOps"", ""CI/CD"", ""Databricks"", ""Docker"", ""Kubernetes"", ""Machine Learning"", ""Python"", ""REST""]"
53;"[""Agile"", ""Cybersecurity"", ""SIEM""]"
54;"[""Azure"", ""Machine Learning""]"
55;"[""Android"", ""Kotlin"", ""React"", ""React Native"", ""Redux"", ""TypeScript"", ""iOS""]"
56;"[""Cloud Computing"", ""ETD"", ""SAP""]"
57;"[""Agile"", ""Apex"", ""HTML"", ""SQL"", ""Salesforce""]"
58;"["".NET"", ""Microservices"", ""REST"", ""Unit Testing""]"
59;"["".NET"", ""Docker"", ""Java"", ""Jenkins"", ""SQL"", ""Spring""]"
60;"[""Ansible"", ""C++"", ""Docker"", ""Elasticsearch"", ""Go"", ""Google Cloud Platform"", ""Grafana"", ""Java"", ""Kubernetes"", ""MongoDB"", ""Python"", ""Redis"", ""Ruby"", ""Ruby on Rails"", ""Scala""]"
61;"[""Build Tools"", ""CSS"", ""Cypress"", ""HTML"", ""JavaScript"", ""REST"", ""React"", ""Redis"", ""Redux"", ""TypeScript""]"
62;"[""Build Tools"", ""CSS"", ""Cypress"", ""HTML"", ""JavaScript"", ""REST"", ""React"", ""Redis"", ""Redux"", ""TypeScript""]"
63;"["".NET"", ""Azure"", ""Machine Learning"", ""Python""]"
64;"[""Agile"", ""Data Modeling"", ""SQL""]"
65;"[""Groovy"", ""SAP"", ""Web Services"", ""XML""]"
66;"[""Power BI"", ""Power Query"", ""SQL""]"
67;"["".NET"", ""Azure"", ""JavaScript"", ""Microsoft Power Platform""]"
68;"[""Azure"", ""ETL"", ""SQL""]"
69;"[""AWS"", ""Azure"", ""Google Cloud Platform""]"
70;"[""GCD"", ""Swift"", ""UI Frameworks"", ""iOS""]"
71;"[""Android"", ""Java"", ""Kotlin"", ""Testing""]"
72;"[""AWS"", ""Agile"", ""JavaScript"", ""Node.js"", ""Python"", ""Terraform""]"
73;"[""BPMN"", ""Enterprise Architect"", ""UML""]"
74;"[""Agile"", ""Atlassian"", ""Data Analysis"", ""Excel"", ""Project Management""]"
75;"[""Cloud Computing"", ""Data Modeling"", ""Machine Learning"", ""Python""]"
76;"[""Azure"", ""DAX"", ""Power BI"", ""Power Query"", ""SQL Server""]"
77;"[""Agile"", ""ISTQB"", ""SQL"", ""Testing""]"
78;"[""Oracle"", ""SQL""]"
79;"[""AWS"", ""Cloud Computing"", ""Google Cloud Platform"", ""Java"", ""Python"", ""SQL"", ""Scala""]"
80;"[""AWS"", ""Azure"", ""Cloud Computing"", ""Google Cloud Platform"", ""Integration"", ""PowerShell"", ""Python"", ""Security""]"
81;"[""AWS"", ""Azure"", ""Cloud Computing"", ""Google Cloud Platform"", ""Integration"", ""PowerShell"", ""Python"", ""Security""]"
82;"[""Agile"", ""Ansible"", ""Azure"", ""Chef"", ""Cloud Computing"", ""DevOps"", ""Jenkins"", ""Kubernetes"", ""Linux"", ""Network Protocols"", ""PowerShell"", ""Puppet"", ""Python"", ""SQL"", ""Security"", ""Shell"", ""Terraform"", ""Testing""]"
83;"[""Agile"", ""Integration"", ""JavaScript"", ""Python"", ""Ruby"", ""Security"", ""Testing"", ""UI/UX Design""]"
84;"[""Application Security"", ""Cloud Computing"", ""Cybersecurity""]"
85;"["".NET"", ""JavaScript"", ""React""]"
86;"[""Java"", ""Kafka"", ""Microservices"", ""REST"", ""Spring""]"
87;"[""Microsoft Office"", ""Windows"", ""Windows Server""]"
88;"[""Express.js"", ""MySQL"", ""Node.js"", ""ORM"", ""RabbitMQ"", ""Redis"", ""Socket.io"", ""TypeScript""]"
89;"[""Agile"", ""Atlassian"", ""BDD"", ""Business Analysis"", ""Microsoft Office"", ""Project Management""]"
90;"[""Analytical Skills"", ""Atlassian"", ""Business Analysis"", ""Database"", ""Excel"", ""ITSM"", ""IaC"", ""Storage""]"
91;"[""Agile"", ""DevOps"", ""Google Cloud Platform"", ""Java"", ""MongoDB"", ""PostgreSQL"", ""Rust"", ""Spring""]"
92;"[""CI/CD"", ""Docker"", ""Groovy"", ""Istio"", ""Java"", ""Kafka"", ""Kubernetes"", ""Shell""]"
93;"[""CI/CD"", ""Docker"", ""Groovy"", ""Istio"", ""Java"", ""Kafka"", ""Kubernetes"", ""Shell""]"
94;"[""Docker"", ""Java"", ""Kubernetes"", ""Microservices"", ""REST"", ""Spring""]"
95;"[""AWS"", ""Cloud Computing"", ""DevOps"", ""IT Architecture"", ""Kotlin"", ""Node.js"", ""Python"", ""Software Architecture"", ""Software Engineering"", ""Spring"", ""Terraform"", ""TypeScript""]"
